RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31
102001,0,United States,Country,"",74.0,73.0,67.0,59.0,53.0,50.0,48.0,49.0,52.0,56.0,60.0,64.0,69.0,71.0,68.0,61.0,55.0,52.0,52.0,54.0,56.0,59.0,61.0,66.0,70.0,70.0,64.0,57.0,53.0,53.0,52.0,49.0
394913,1,"New York, NY",Msa,NY,99.0,96.0,87.0,76.0,71.0,70.0,70.0,74.0,78.0,82.0,86.0,91.0,97.0,98.0,95.0,88.0,82.0,82.0,82.0,86.0,87.0,90.0,92.0,96.0,102.0,104.0,100.0,92.0,87.0,80.0,74.0,68.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,47.0,44.0,39.0,34.0,32.0,32.0,34.0,36.0,40.0,42.0,45.0,50.0,55.0,57.0,54.0,49.0,45.0,43.0,43.0,44.0,46.0,48.0,49.0,52.0,54.0,51.0,43.0,37.0,34.0,35.0,35.0,35.0
394463,3,"Chicago, IL",Msa,IL,82.0,79.0,66.0,53.0,45.0,43.0,44.0,46.0,50.0,54.0,60.0,68.0,76.0,77.0,69.0,58.0,50.0,47.0,48.0,51.0,55.0,60.0,65.0,74.0,81.0,80.0,70.0,60.0,55.0,53.0,50.0,47.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,61.0,58.0,53.0,45.0,41.0,39.0,40.0,42.0,46.0,50.0,54.0,59.0,63.0,64.0,61.0,55.0,51.0,49.0,49.0,51.0,54.0,57.0,60.0,63.0,67.0,66.0,61.0,55.0,51.0,50.0,48.0,47.0
394974,5,"Philadelphia, PA",Msa,PA,77.0,83.0,78.0,68.0,60.0,56.0,54.0,53.0,54.0,56.0,59.0,64.0,69.0,69.0,63.0,53.0,47.0,44.0,46.0,49.0,51.0,52.0,54.0,59.0,65.0,64.0,55.0,48.0,43.0,42.0,37.0,34.0
394692,6,"Houston, TX",Msa,TX,74.0,71.0,66.0,57.0,50.0,47.0,47.0,49.0,53.0,58.0,62.0,66.0,69.0,77.0,73.0,68.0,56.0,53.0,53.0,56.0,59.0,62.0,66.0,71.0,75.0,73.0,66.0,59.0,56.0,56.0,55.0,53.0
395209,7,"Washington, DC",Msa,DC,67.0,68.0,62.0,51.0,45.0,39.0,38.0,37.0,38.0,42.0,46.0,54.0,58.0,55.0,45.0,36.0,31.0,31.0,34.0,37.0,39.0,39.0,43.0,48.0,52.0,49.0,38.0,29.0,27.0,28.0,28.0,25.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,88.0,87.0,81.0,80.0,79.0,80.0,78.0,76.0,76.0,78.0,79.0,81.0,87.0,91.0,91.0,88.0,86.0,85.0,84.0,87.0,88.0,88.0,87.0,90.0,91.0,92.0,88.0,84.0,81.0,81.0,82.0,81.0
394347,9,"Atlanta, GA",Msa,GA,62.0,58.0,50.0,41.0,36.0,34.0,34.0,35.0,38.0,40.0,43.0,48.0,52.0,57.0,54.0,49.0,41.0,40.0,40.0,42.0,45.0,47.0,50.0,54.0,59.0,60.0,54.0,47.0,43.0,44.0,46.0,44.0
394404,10,"Boston, MA",Msa,MA,48.0,47.0,40.0,30.0,24.0,22.0,24.0,28.0,30.0,33.0,37.0,43.0,49.0,49.0,44.0,35.0,29.0,28.0,29.0,33.0,35.0,37.0,40.0,48.0,53.0,51.0,39.0,29.0,26.0,27.0,27.0,25.0
395057,11,"San Francisco, CA",Msa,CA,30.0,27.0,23.0,19.0,18.0,19.0,21.0,23.0,25.0,27.0,30.0,36.0,39.0,38.0,33.0,29.0,27.0,26.0,28.0,30.0,31.0,32.0,34.0,39.0,42.0,37.0,28.0,23.0,23.0,26.0,26.0,26.0
394532,12,"Detroit, MI",Msa,MI,55.0,55.0,49.0,38.0,30.0,26.0,26.0,28.0,31.0,36.0,41.0,47.0,53.0,57.0,54.0,46.0,38.0,34.0,33.0,36.0,40.0,44.0,49.0,56.0,63.0,64.0,58.0,52.0,46.0,43.0,37.0,33.0
395025,13,"Riverside, CA",Msa,CA,55.0,52.0,48.0,44.0,42.0,41.0,42.0,44.0,49.0,52.0,55.0,58.0,62.0,63.0,62.0,59.0,56.0,53.0,51.0,51.0,51.0,52.0,54.0,57.0,60.0,60.0,55.0,48.0,46.0,45.0,45.0,42.0
394976,14,"Phoenix, AZ",Msa,AZ,60.0,60.0,57.0,55.0,54.0,51.0,51.0,50.0,49.0,49.0,51.0,54.0,57.0,56.0,55.0,54.0,52.0,49.0,47.0,45.0,44.0,42.0,42.0,45.0,47.0,46.0,41.0,36.0,35.0,36.0,37.0,35.0
395078,15,"Seattle, WA",Msa,WA,37.0,33.0,25.0,18.0,16.0,15.0,17.0,21.0,25.0,31.0,37.0,44.0,48.0,46.0,37.0,29.0,23.0,22.0,23.0,27.0,29.0,31.0,34.0,39.0,40.0,34.0,24.0,16.0,15.0,17.0,18.0,17.0
394865,16,"Minneapolis-St Paul, MN",Msa,MN,63.0,59.0,51.0,41.0,36.0,34.0,34.0,36.0,39.0,43.0,49.0,56.0,63.0,62.0,56.0,46.0,39.0,34.0,34.0,37.0,40.0,44.0,49.0,56.0,61.0,59.0,51.0,41.0,35.0,33.0,34.0,34.0
395056,17,"San Diego, CA",Msa,CA,46.0,42.0,39.0,36.0,37.0,38.0,41.0,44.0,46.0,47.0,50.0,55.0,58.0,60.0,57.0,52.0,46.0,43.0,43.0,46.0,48.0,49.0,49.0,53.0,56.0,53.0,43.0,37.0,36.0,37.0,35.0,31.0
395121,18,"St. Louis, MO",Msa,MO,70.0,70.0,63.0,54.0,48.0,43.0,41.0,42.0,46.0,50.0,54.0,59.0,65.0,64.0,58.0,47.0,41.0,37.0,37.0,39.0,41.0,43.0,46.0,52.0,58.0,58.0,51.0,43.0,37.0,37.0,36.0,34.0
395148,19,"Tampa, FL",Msa,FL,57.0,57.0,54.0,50.0,46.0,44.0,44.0,45.0,48.0,49.0,48.0,49.0,52.0,55.0,56.0,54.0,53.0,51.0,51.0,51.0,50.0,52.0,53.0,55.0,55.0,53.0,48.0,44.0,42.0,43.0,44.0,39.0
394358,20,"Baltimore, MD",Msa,MD,74.0,76.0,72.0,62.0,55.0,50.0,50.0,49.0,51.0,56.0,59.0,67.0,69.0,71.0,64.0,54.0,46.0,44.0,46.0,50.0,53.0,54.0,56.0,59.0,64.0,65.0,59.0,49.0,44.0,42.0,42.0,39.0
394530,21,"Denver, CO",Msa,CO,39.0,35.0,28.0,22.0,19.0,19.0,20.0,24.0,28.0,31.0,35.0,41.0,44.0,43.0,37.0,30.0,27.0,26.0,29.0,32.0,35.0,37.0,39.0,44.0,45.0,41.0,32.0,25.0,23.0,25.0,25.0,24.0
394982,22,"Pittsburgh, PA",Msa,PA,98.0,101.0,98.0,86.0,75.0,64.0,57.0,54.0,56.0,61.0,64.0,70.0,75.0,82.0,81.0,73.0,64.0,58.0,55.0,55.0,54.0,58.0,62.0,69.0,73.0,75.0,70.0,69.0,63.0,60.0,50.0,45.0
394998,23,"Portland, OR",Msa,OR,54.0,52.0,45.0,35.0,28.0,26.0,29.0,32.0,37.0,43.0,49.0,55.0,58.0,57.0,51.0,43.0,36.0,33.0,33.0,36.0,39.0,44.0,47.0,56.0,59.0,56.0,44.0,33.0,30.0,30.0,31.0,30.0
394458,24,"Charlotte, NC",Msa,NC,51.0,49.0,41.0,35.0,32.0,32.0,33.0,35.0,38.0,39.0,41.0,45.0,49.0,49.0,45.0,40.0,36.0,36.0,37.0,38.0,39.0,41.0,42.0,45.0,48.0,47.0,41.0,33.0,31.0,32.0,32.0,28.0
395045,25,"Sacramento, CA",Msa,CA,43.0,40.0,34.0,28.0,25.0,24.0,26.0,30.0,34.0,38.0,41.0,46.0,51.0,50.0,44.0,35.0,30.0,28.0,29.0,32.0,35.0,37.0,40.0,44.0,46.0,42.0,34.0,27.0,26.0,28.0,30.0,28.0
395055,26,"San Antonio, TX",Msa,TX,75.0,76.0,73.0,67.0,62.0,58.0,57.0,56.0,57.0,60.0,65.0,68.0,74.0,75.0,73.0,66.0,62.0,60.0,60.0,61.0,63.0,66.0,71.0,75.0,80.0,81.0,76.0,68.0,62.0,61.0,60.0,59.0
394943,27,"Orlando, FL",Msa,FL,62.0,59.0,54.0,46.0,42.0,41.0,42.0,42.0,46.0,48.0,52.0,54.0,55.0,56.0,55.0,53.0,50.0,48.0,49.0,50.0,52.0,54.0,54.0,55.0,55.0,55.0,49.0,43.0,41.0,42.0,42.0,41.0
394466,28,"Cincinnati, OH",Msa,OH,60.0,57.0,50.0,41.0,35.0,31.0,30.0,31.0,33.0,36.0,40.0,46.0,51.0,53.0,48.0,41.0,34.0,30.0,29.0,30.0,32.0,35.0,37.0,41.0,44.0,44.0,38.0,31.0,27.0,26.0,25.0,22.0
394475,29,"Cleveland, OH",Msa,OH,86.0,87.0,83.0,75.0,67.0,61.0,58.0,57.0,60.0,64.0,67.0,73.0,77.0,80.0,76.0,71.0,63.0,59.0,57.0,58.0,59.0,60.0,64.0,70.0,73.0,75.0,67.0,62.0,54.0,50.0,45.0,40.0
394735,30,"Kansas City, MO",Msa,MO,60.0,61.0,54.0,47.0,39.0,36.0,35.0,36.0,41.0,42.0,45.0,47.0,52.0,56.0,53.0,47.0,40.0,35.0,34.0,36.0,38.0,40.0,42.0,49.0,56.0,58.0,52.0,44.0,39.0,38.0,36.0,33.0
394775,31,"Las Vegas, NV",Msa,NV,59.0,60.0,57.0,58.0,51.0,43.0,30.0,32.0,34.0,37.0,40.0,45.0,52.0,54.0,55.0,53.0,52.0,50.0,51.0,53.0,56.0,58.0,60.0,62.0,63.0,61.0,53.0,45.0,42.0,45.0,47.0,45.0
394492,32,"Columbus, OH",Msa,OH,43.0,42.0,38.0,29.0,23.0,21.0,21.0,22.0,26.0,29.0,33.0,38.0,43.0,44.0,39.0,32.0,26.0,23.0,23.0,24.0,26.0,29.0,33.0,38.0,42.0,41.0,34.0,27.0,23.0,23.0,20.0,19.0
394705,33,"Indianapolis, IN",Msa,IN,64.0,61.0,56.0,50.0,39.0,32.0,26.0,28.0,31.0,36.0,40.0,46.0,51.0,55.0,51.0,43.0,34.0,30.0,28.0,30.0,32.0,34.0,37.0,43.0,49.0,51.0,44.0,36.0,31.0,29.0,27.0,25.0
395059,34,"San Jose, CA",Msa,CA,24.0,22.0,20.0,17.0,16.0,16.0,20.0,23.0,26.0,29.0,32.0,38.0,41.0,40.0,35.0,29.0,27.0,27.0,31.0,35.0,39.0,40.0,42.0,45.0,48.0,42.0,31.0,25.0,26.0,31.0,33.0,33.0
394355,35,"Austin, TX",Msa,TX,63.0,59.0,51.0,40.0,35.0,33.0,35.0,39.0,44.0,49.0,53.0,59.0,61.0,58.0,49.0,40.0,36.0,35.0,36.0,38.0,42.0,44.0,47.0,50.0,53.0,50.0,41.0,33.0,31.0,33.0,34.0,32.0
395194,36,"Virginia Beach, VA",Msa,VA,100.0,104.0,97.0,89.0,87.0,86.0,82.0,78.0,80.0,86.0,91.0,96.0,97.0,96.0,93.0,86.0,78.0,71.0,70.0,73.0,76.0,79.0,84.0,97.0,100.0,105.0,101.0,108.0,106.0,108.0,104.0,98.0
394902,37,"Nashville, TN",Msa,TN,46.0,44.0,39.0,34.0,33.0,35.0,36.0,38.0,40.0,43.0,45.0,50.0,56.0,58.0,53.0,48.0,43.0,43.0,48.0,51.0,56.0,59.0,63.0,68.0,68.0,67.0,64.0,59.0,56.0,52.0,52.0,55.0
395005,38,"Providence, RI",Msa,RI,69.0,68.0,64.0,56.0,48.0,42.0,41.0,45.0,53.0,55.0,61.0,63.0,70.0,74.0,70.0,63.0,53.0,51.0,50.0,52.0,52.0,54.0,56.0,61.0,67.0,67.0,63.0,56.0,50.0,45.0,43.0,37.0
394862,39,"Milwaukee, WI",Msa,WI,61.0,58.0,50.0,41.0,36.0,32.0,31.0,30.0,31.0,32.0,39.0,46.0,49.0,46.0,43.0,48.0,51.0,54.0,51.0,51.0,50.0,53.0,57.0,64.0,71.0,80.0,76.0,65.0,52.0,50.0,48.0,47.0
394714,40,"Jacksonville, FL",Msa,FL,70.0,65.0,62.0,58.0,56.0,55.0,54.0,55.0,57.0,60.0,63.0,65.0,68.0,69.0,68.0,66.0,61.0,58.0,54.0,53.0,55.0,56.0,57.0,58.0,61.0,61.0,56.0,51.0,48.0,50.0,49.0,47.0
394849,41,"Memphis, TN",Msa,TN,66.0,67.0,65.0,53.0,49.0,43.0,46.0,45.0,49.0,49.0,55.0,57.0,67.0,64.0,62.0,50.0,42.0,35.0,34.0,37.0,40.0,42.0,44.0,49.0,51.0,51.0,46.0,38.0,33.0,29.0,32.0,31.0
394935,42,"Oklahoma City, OK",Msa,OK,68.0,69.0,65.0,60.0,59.0,62.0,56.0,57.0,60.0,63.0,66.0,70.0,75.0,78.0,77.0,72.0,64.0,56.0,54.0,52.0,54.0,56.0,59.0,65.0,68.0,68.0,63.0,57.0,53.0,50.0,48.0,47.0
394807,43,"Louisville-Jefferson County, KY",Msa,KY,59.0,59.0,49.0,41.0,36.0,35.0,35.0,34.0,36.0,38.0,41.0,50.0,56.0,61.0,54.0,48.0,43.0,39.0,38.0,37.0,40.0,41.0,46.0,50.0,58.0,60.0,53.0,44.0,38.0,37.0,34.0,32.0
394669,44,"Hartford, CT",Msa,CT,105.0,95.0,87.0,67.0,56.0,46.0,47.0,50.0,54.0,59.0,61.0,71.0,79.0,81.0,73.0,60.0,52.0,47.0,48.0,50.0,54.0,56.0,61.0,68.0,76.0,79.0,70.0,58.0,49.0,45.0,41.0,35.0
395022,45,"Richmond, VA",Msa,VA,68.0,63.0,48.0,35.0,34.0,34.0,38.0,39.0,43.0,45.0,50.0,52.0,55.0,54.0,50.0,43.0,36.0,34.0,36.0,40.0,42.0,45.0,46.0,54.0,56.0,55.0,43.0,34.0,30.0,31.0,31.0,28.0
394910,46,"New Orleans, LA",Msa,LA,78.0,80.0,75.0,71.0,67.0,68.0,67.0,67.0,64.0,65.0,65.0,69.0,76.0,77.0,77.0,71.0,68.0,59.0,57.0,56.0,61.0,61.0,64.0,70.0,80.0,83.0,77.0,69.0,63.0,62.0,63.0,62.0
394425,47,"Buffalo, NY",Msa,NY,64.0,66.0,58.0,46.0,37.0,33.0,32.0,33.0,37.0,41.0,47.0,51.0,57.0,61.0,60.0,52.0,43.0,36.0,37.0,38.0,40.0,41.0,44.0,51.0,59.0,62.0,56.0,53.0,48.0,44.0,35.0,30.0
395012,48,"Raleigh, NC",Msa,NC,46.0,42.0,35.0,28.0,26.0,25.0,26.0,29.0,31.0,33.0,33.0,37.0,39.0,39.0,35.0,31.0,28.0,30.0,32.0,33.0,33.0,35.0,37.0,41.0,42.0,40.0,33.0,27.0,25.0,26.0,26.0,24.0
394388,49,"Birmingham, AL",Msa,AL,79.0,74.0,67.0,56.0,49.0,47.0,45.0,47.0,49.0,52.0,54.0,57.0,62.0,63.0,57.0,50.0,45.0,43.0,42.0,43.0,46.0,49.0,52.0,56.0,58.0,57.0,51.0,44.0,39.0,40.0,41.0,40.0
395053,50,"Salt Lake City, UT",Msa,UT,45.0,41.0,34.0,24.0,23.0,21.0,24.0,25.0,27.0,29.0,33.0,39.0,45.0,46.0,41.0,34.0,28.0,26.0,27.0,33.0,34.0,35.0,36.0,41.0,43.0,40.0,33.0,27.0,22.0,25.0,23.0,21.0
395031,51,"Rochester, NY",Msa,NY,71.0,67.0,61.0,49.0,43.0,36.0,36.0,38.0,43.0,46.0,50.0,56.0,61.0,62.0,55.0,45.0,37.0,33.0,32.0,36.0,38.0,42.0,45.0,52.0,55.0,54.0,46.0,43.0,41.0,38.0,33.0,31.0
394640,52,"Grand Rapids, MI",Msa,MI,47.0,47.0,41.0,34.0,28.0,24.0,22.0,24.0,29.0,32.0,34.0,35.0,37.0,43.0,41.0,37.0,28.0,26.0,26.0,29.0,33.0,37.0,40.0,44.0,52.0,55.0,49.0,40.0,33.0,33.0,28.0,26.0
395167,53,"Tucson, AZ",Msa,AZ,61.0,60.0,57.0,52.0,48.0,46.0,44.0,43.0,41.0,41.0,41.0,44.0,48.0,52.0,53.0,49.0,47.0,43.0,44.0,43.0,42.0,41.0,39.0,41.0,43.0,43.0,39.0,36.0,36.0,37.0,36.0,31.0
395169,55,"Tulsa, OK",Msa,OK,89.0,88.0,82.0,76.0,72.0,67.0,65.0,65.0,69.0,71.0,76.0,84.0,89.0,90.0,83.0,78.0,77.0,75.0,72.0,66.0,65.0,64.0,65.0,69.0,72.0,72.0,66.0,62.0,58.0,54.0,51.0,48.0
394619,56,"Fresno, CA",Msa,CA,42.0,40.0,37.0,33.0,32.0,31.0,33.0,33.0,34.0,35.0,43.0,48.0,55.0,55.0,52.0,45.0,39.0,38.0,41.0,44.0,45.0,43.0,47.0,51.0,54.0,53.0,45.0,43.0,40.0,45.0,43.0,38.0
395238,57,"Worcester, MA",Msa,MA,58.0,56.0,52.0,41.0,32.0,28.0,27.0,31.0,34.0,38.0,42.0,54.0,58.0,61.0,53.0,45.0,35.0,30.0,31.0,33.0,35.0,38.0,42.0,45.0,50.0,50.0,44.0,36.0,30.0,30.0,29.0,28.0
394415,58,"Stamford, CT",Msa,CT,119.0,100.0,101.0,78.0,64.0,59.0,61.0,66.0,69.0,74.0,80.0,87.0,90.0,89.0,81.0,75.0,67.0,67.0,69.0,76.0,80.0,85.0,88.0,102.0,109.0,105.0,89.0,80.0,79.0,76.0,67.0,56.0
